1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
8590,  	"The Directory Service failed to enter single user mode."
8591,  	"The Directory Service cannot parse the script because of a syntax error."
8592,  	"The Directory Service cannot process the script because of an error."
8593,  	"The directory service cannot perform the requested operation because the servers\ninvolved are of different replication epochs (which is usually related to a\ndomain rename that is in progress)."
8594,  	"The directory service binding must be renegotiated due to a change in the server\nextensions information."
8595,  	"Operation not allowed on a disabled cross ref."
8596,  	"Schema update failed: No values for msDS-IntId are available."
8597,  	"Schema update failed: Duplicate msDS-INtId. Retry the operation."
8598,  	"Schema deletion failed: attribute is used in rDNAttID."
8599,  	"The directory service failed to authorize the request."
8600,  	"The Directory Service cannot process the script because it is invalid."
8601,  	"The remote create cross reference operation failed on the Domain Naming Master FSMO.  The operation's error is in the extended data."
